Område;KomKode;Byområde;Navn;Folketal;Areal;Befolkningstæthed
316-11046 Store Merløse;316;11046;Store Merløse;1241.0;0.9;1363.7
316-11436 Søstrup;316;11436;Søstrup;347.0;0.4;961.2
316-11805 Ny Hagested;316;11805;Ny Hagested;209.0;0.2;985.8
316-15677 Gammel Tølløse;316;15677;Gammel Tølløse;259.0;0.2;1161.4
316-18359 Tølløse;316;18359;Tølløse;3759.0;2.6;1456.4
316-18360 Vipperød;316;18360;Vipperød;2266.0;1.4;1658.9
316-18836 Markeslev;316;18836;Markeslev;400.0;0.2;1619.4
316-70164 Kisserup Strand;316;70164;Kisserup Strand;0.0;0.0;0.0
316-99997 Uden fast bopæl;316;99997;Uden fast bopæl;74.0;0.0;0.0
316-99999 Landdistrikter;316;99999;Landdistrikter;13311.0;543.0;24.5
320-00320 Faxe Kommune;320;00320;Faxe Kommune;0.0;0.0;0.0
320-10000 Karise;320;10000;Karise;2214.0;1.3;1746.1
320-10005 Faxe Ladeplads;320;10005;Faxe Ladeplads;2867.0;2.7;1052.9
320-10072 Haslev;320;10072;Haslev;11748.0;6.6;1776.0
320-10073 Terslev;320;10073;Terslev;909.0;0.5;1832.7
320-10137 Teestrup;320;10137;Teestrup;220.0;0.3;880.0
320-10155 Dalby;320;10155;Dalby;2084.0;1.8;1171.4
320-10186 Faxe;320;10186;Faxe;4017.0;2.7;1471.4
320-10268 Førslev;320;10268;Førslev;342.0;0.4;947.4
320-10343 Rønnede;320;10343;Rønnede;2456.0;2.0;1241.0
320-11262 Skuderløse;320;11262;Skuderløse;0.0;0.0;0.0
320-15094 Orup;320;15094;Orup;0.0;0.0;0.0
320-16271 Store Spjellerup;320;16271;Store Spjellerup;246.0;0.3;793.5
320-99997 Uden fast bopæl;320;99997;Uden fast bopæl;37.0;0.0;0.0
320-99999 Landdistrikter;320;99999;Landdistrikter;8776.0;386.4;22.7
326-00326 Kalundborg Kommune;326;00326;Kalundborg Kommune;0.0;0.0;0.0
326-10061 Løve;326;10061;Løve;285.0;0.3;916.4
326-10187 Reersø;326;10187;Reersø;520.0;0.6;811.2
326-10188 Kirke Helsinge;326;10188;Kirke Helsinge;530.0;0.4;1305.4
326-10246 Spangsbro;326;10246;Spangsbro;768.0;0.6;1282.1
326-10247 Kalundborg;326;10247;Kalundborg;16490.0;17.0;972.7
326-10248 Svallerup;326;10248;Svallerup;264.0;0.3;898.0
326-10249 Årby;326;10249;Årby;406.0;0.2;1643.7
326-10270 Sæby;326;10270;Sæby;361.0;0.3;1187.5
326-10308 Bjerge;326;10308;Bjerge;265.0;0.2;1305.4
326-10309 Gørlev;326;10309;Gørlev;2466.0;2.1;1196.5
326-10399 Svebølle;326;10399;Svebølle;2271.0;1.8;1278.0
326-10410 Havnsø (del af flere kommuner);326;10410;Havnsø (del af flere kommuner);973.0;1.6;592.2
326-10423 Eskebjerg;326;10423;Eskebjerg;252.0;0.3;926.5
326-10424 Føllenslev;326;10424;Føllenslev;360.0;0.3;1068.2
326-10438 Snertinge;326;10438;Snertinge;972.0;0.7;1455.1
326-10442 Høng;326;10442;Høng;4257.0;2.9;1450.9
326-10484 Rørby;326;10484;Rørby;759.0;0.6;1365.1
326-10485 Ubby;326;10485;Ubby;1932.0;1.6;1208.3
326-10486 Ulstrup;326;10486;Ulstrup;427.0;0.4;1173.1
326-11261 Sejerby;326;11261;Sejerby;0.0;0.0;0.0
326-11792 Ugerløse;326;11792;Ugerløse;264.0;0.2;1375.0
326-14630 Flinterup;326;14630;Flinterup;0.0;0.0;0.0
326-14631 Store Fuglede;326;14631;Store Fuglede;0.0;0.0;0.0
326-18694 Store Fuglede Stationsby;326;18694;Store Fuglede Stationsby;218.0;0.2;968.9
326-70130 Kaldred;326;70130;Kaldred;351.0;2.2;159.0
326-99997 Uden fast bopæl;326;99997;Uden fast bopæl;112.0;0.0;0.0
326-99999 Landdistrikter;326;99999;Landdistrikter;13233.0;540.5;24.5
329-00329 Ringsted Kommune;329;00329;Ringsted Kommune;0.0;0.0;0.0
329-10011 Jystrup;329;10011;Jystrup;730.0;0.5;1380.0
329-10063 Gyrstinge;329;10063;Gyrstinge;326.0;0.3;1083.1
329-10074 Ørslev;329;10074;Ørslev;679.0;0.4;1636.1
329-10245 Fjællebro;329;10245;Fjællebro;221.0;0.2;1072.8
329-10255 Kværkeby;329;10255;Kværkeby;613.0;0.4;1661.2
329-10256 Nordrup;329;10256;Nordrup;238.0;0.3;844.0
329-10257 Ortved;329;10257;Ortved;238.0;0.1;1597.3
329-10258 Vigersted;329;10258;Vigersted;487.0;0.4;1255.2
329-10267 Vetterslev;329;10267;Vetterslev;568.0;0.3;1660.8
329-10306 Høm;329;10306;Høm;460.0;0.3;1543.6
329-10307 Ringsted;329;10307;Ringsted;22490.0;13.7;1644.1
329-16836 Sneslev;329;16836;Sneslev;415.0;0.3;1199.4
329-16844 Farendløse;329;16844;Farendløse;351.0;0.3;1041.5
329-99997 Uden fast bopæl;329;99997;Uden fast bopæl;50.0;0.0;0.0
329-99999 Landdistrikter;329;99999;Landdistrikter;6393.0;277.1;23.1
330-00330 Slagelse Kommune;330;00330;Slagelse Kommune;0.0;0.0;0.0
330-10001 Forlev;330;10001;Forlev;2528.0;1.7;1488.8
330-10002 Korsør;330;10002;Korsør;14702.0;6.7;2203.5
330-10003 Svenstrup;330;10003;Svenstrup;1935.0;1.3;1481.6
330-10158 Boeslunde;330;10158;Boeslunde;779.0;0.7;1189.3
330-10159 Eggeslevmagle;330;10159;Eggeslevmagle;201.0;0.2;1005.0
330-10189 Kirke Stillinge;330;10189;Kirke Stillinge;704.0;0.7;1083.1
330-10195 Havrebjerg;330;10195;Havrebjerg;406.0;0.3;1234.0
330-10196 Sørbymagle;330;10196;Sørbymagle;1119.0;0.8;1359.7
330-10197 Flakkebjerg;330;10197;Flakkebjerg;447.0;0.4;1277.1
330-10226 Dalmose;330;10226;Dalmose;1001.0;0.9;1158.6
330-10275 Bisserup;330;10275;Bisserup;523.0;0.9;602.5
330-10638 Rude;330;10638;Rude;270.0;0.3;909.1
330-10697 Skælskør;330;10697;Skælskør;6491.0;4.3;1516.2
330-11000 Slagelse;330;11000;Slagelse;33433.0;16.2;2061.0
330-11266 Slots Bjergby;330;11266;Slots Bjergby;799.0;0.6;1444.8
330-11460 Rosted;330;11460;Rosted;0.0;0.0;0.0
330-14643 Agersø;330;14643;Agersø;0.0;0.0;0.0
330-16061 Sønderup;330;16061;Sønderup;207.0;0.2;1024.8
330-70000 Frølunde Fed;330;70000;Frølunde Fed;223.0;0.8;273.3
330-70002 Næsby Strand;330;70002;Næsby Strand;0.0;0.0;0.0
330-70102 Kongsmark Strand;330;70102;Kongsmark Strand;238.0;0.7;317.8
330-70106 Stillinge Strand;330;70106;Stillinge Strand;330.0;1.3;253.1
330-99997 Uden fast bopæl;330;99997;Uden fast bopæl;208.0;0.0;0.0
330-99999 Landdistrikter;330;99999;Landdistrikter;12284.0;529.1;23.2
336-00336 Stevns Kommune;336;00336;Stevns Kommune;0.0;0.0;0.0
336-10004 Rødvig;336;10004;Rødvig;1783.0;1.7;1034.2
336-10054 Hårlev;336;10054;Hårlev;2588.0;1.9;1352.1
336-10055 Hellested;336;10055;Hellested;568.0;0.6;1019.7
336-10056 Strøby;336;10056;Strøby;692.0;0.4;1875.3
336-10057 Klippinge;336;10057;Klippinge;520.0;0.3;1762.7
336-10058 Magleby;336;10058;Magleby;333.0;0.3;1206.5
336-10314 Strøby Egede;336;10314;Strøby Egede;4201.0;2.9;1465.8
336-10315 Valløby;336;10315;Valløby;760.0;0.4;1835.7
336-10316 Vedskølle (del af flere kommuner);336;10316;Vedskølle (del af flere kommuner);2.0;0.0;400.0
336-10333 Holtug;336;10333;Holtug;268.0;0.3;873.0
336-10334 Sigerslev;336;10334;Sigerslev;202.0;0.2;1025.4
336-10342 Store Heddinge;336;10342;Store Heddinge;3420.0;2.2;1523.4
336-16277 Havnelev-Boestofte;336;16277;Havnelev-Boestofte;261.0;0.5;548.3
336-18396 Lyderslev;336;18396;Lyderslev;337.0;0.4;875.3
336-99997 Uden fast bopæl;336;99997;Uden fast bopæl;65.0;0.0;0.0
336-99999 Landdistrikter;336;99999;Landdistrikter;6492.0;238.1;27.3
340-00340 Sorø Kommune;340;00340;Sorø Kommune;0.0;0.0;0.0
340-10062 Dianalund;340;10062;Dianalund;4017.0;2.5;1603.6
340-10142 Broby Overdrev;340;10142;Broby Overdrev;222.0;0.2;932.8
340-10143 Fjenneslev;340;10143;Fjenneslev;823.0;0.5;1626.5
340-10144 Frederiksberg;340;10144;Frederiksberg;3473.0;1.8;1902.0
340-10251 Skellebjerg;340;10251;Skellebjerg;0.0;0.0;0.0
340-10265 Tersløse;340;10265;Tersløse;227.0;0.2;1060.7
340-10269 Ruds Vedby;340;10269;Ruds Vedby;1764.0;1.1;1587.8
340-10390 Nyrup;340;10390;Nyrup;464.0;0.3;1750.9
340-10391 Stenlille;340;10391;Stenlille;2083.0;1.2;1669.1
340-10404 Vedde;340;10404;Vedde;285.0;0.2;1583.3
340-10441 Munke Bjergby;340;10441;Munke Bjergby;311.0;0.3;1019.7
340-10472 Sorø;340;10472;Sorø;7927.0;5.4;1459.3
340-11580 Niløse;340;11580;Niløse;210.0;0.3;662.5
340-17856 Lynge;340;17856;Lynge;0.0;0.0;0.0
340-99997 Uden fast bopæl;340;99997;Uden fast bopæl;38.0;0.0;0.0
340-99999 Landdistrikter;340;99999;Landdistrikter;7751.0;294.3;26.3
350-00350 Lejre Kommune;350;00350;Lejre Kommune;0.0;0.0;0.0
350-10029 Gershøj;350;10029;Gershøj;666.0;0.7;896.4
350-10036 Gevninge;350;10036;Gevninge;1672.0;0.8;2077.0
350-10037 Lejre;350;10037;Lejre;2411.0;1.6;1528.9
350-10039 Øm;350;10039;Øm;489.0;0.4;1397.1
350-10163 Kirke Såby;350;10163;Kirke Såby;1695.0;1.1;1525.7
350-10164 Torkilstrup;350;10164;Torkilstrup;241.0;0.2;1469.5
350-10181 Kirke Hyllinge;350;10181;Kirke Hyllinge;2159.0;1.4;1509.8
350-10182 Sæby;350;10182;Sæby;333.0;0.3;1332.0
350-10743 Kirke Hvalsø;350;10743;Kirke Hvalsø;4086.0;2.3;1789.0
350-10815 Ejby;350;10815;Ejby;1902.0;1.2;1570.6
350-10852 Lyndby;350;10852;Lyndby;574.0;0.3;1663.8
350-10853 Englerup;350;10853;Englerup;304.0;0.2;1240.8
350-10854 Vester Såby;350;10854;Vester Såby;463.0;0.3;1596.6
350-10855 Osted;350;10855;Osted;2156.0;1.5;1448.0
350-10890 Kirke Sonnerup;350;10890;Kirke Sonnerup;940.0;0.5;1718.5
350-12965 Herslev;350;12965;Herslev;222.0;0.1;1597.1
350-15675 Lindenborg;350;15675;Lindenborg;268.0;0.4;718.5
350-70087 Kyndeløse Sydmark;350;70087;Kyndeløse Sydmark;454.0;1.3;343.4
350-99997 Uden fast bopæl;350;99997;Uden fast bopæl;56.0;0.0;0.0
350-99999 Landdistrikter;350;99999;Landdistrikter;6311.0;224.2;28.1
360-00360 Lolland Kommune;360;00360;Lolland Kommune;0.0;0.0;0.0
360-10335 Dannemare;360;10335;Dannemare;428.0;0.5;850.9
360-10345 Rødbyhavn;360;10345;Rødbyhavn;1669.0;2.2;757.9
360-10419 Rødby;360;10419;Rødby;2085.0;1.6;1292.6
360-10427 Errindlev;360;10427;Errindlev;284.0;0.3;863.2
360-10443 Langø;360;10443;Langø;321.0;0.4;773.5
360-10446 Horslunde;360;10446;Horslunde;627.0;0.8;831.6
360-10448 Utterslev;360;10448;Utterslev;235.0;0.4;549.1
360-10449 Sandby;360;10449;Sandby;361.0;0.4;878.3
360-10450 Branderslev;360;10450;Branderslev;221.0;0.2;956.7
360-10491 Holeby;360;10491;Holeby;1447.0;1.4;1064.0
360-10492 Hillested;360;10492;Hillested;233.0;0.3;797.9
360-10506 Nakskov;360;10506;Nakskov;12758.0;8.7;1465.6
360-10512 Stokkemarke;360;10512;Stokkemarke;418.0;0.5;767.0
360-10513 Søllested;360;10513;Søllested;1444.0;1.3;1148.8
360-10514 Nørreballe;360;10514;Nørreballe;520.0;0.6;874.0
360-10527 Bandholm;360;10527;Bandholm;558.0;0.6;965.4
360-10528 Hunseby;360;10528;Hunseby;425.0;0.4;974.8
360-10542 Birket;360;10542;Birket;0.0;0.0;0.0
360-10556 Vesterby;360;10556;Vesterby;0.0;0.0;0.0
360-10559 Anderstrup;360;10559;Anderstrup;0.0;0.0;0.0
360-10560 Maribo;360;10560;Maribo;5735.0;4.1;1406.0
360-99997 Uden fast bopæl;360;99997;Uden fast bopæl;106.0;0.0;0.0
360-99999 Landdistrikter;360;99999;Landdistrikter;12410.0;861.4;14.4
370-00370 Næstved Kommune;370;00370;Næstved Kommune;0.0;0.0;0.0
370-10053 Brøderup;370;10053;Brøderup;0.0;0.0;0.0
370-10067 Everdrup;370;10067;Everdrup;258.0;0.2;1183.5
370-10086 Glumsø;370;10086;Glumsø;2167.0;1.4;1586.4
370-10110 Fensmark;370;10110;Fensmark;4977.0;3.2;1536.6
370-10111 Gelsted;370;10111;Gelsted;1244.0;0.7;1902.1
370-10112 Holme-Olstrup;370;10112;Holme-Olstrup;1185.0;1.3;908.7
370-10113 Næstved;370;10113;Næstved;43234.0;21.3;2027.5
370-10114 Rønnebæk;370;10114;Rønnebæk;557.0;0.3;2126.0
370-10115 Mogenstrup;370;10115;Mogenstrup;1855.0;1.6;1173.3
370-10145 Sandved;370;10145;Sandved;727.0;0.5;1436.8
370-10146 Tornemark;370;10146;Tornemark;293.0;0.3;887.9
370-10147 Hyllinge;370;10147;Hyllinge;463.0;0.4;1146.0
370-10148 Menstrup;370;10148;Menstrup;234.0;0.2;1017.4
370-10149 Skraverup;370;10149;Skraverup;220.0;0.2;1094.5
370-10217 Karrebæksminde;370;10217;Karrebæksminde;1810.0;1.6;1106.4
370-10229 Lov;370;10229;Lov;562.0;0.4;1297.9
370-10266 Toksværd;370;10266;Toksværd;829.0;0.7;1191.1
370-10474 Fuglebjerg;370;10474;Fuglebjerg;2192.0;1.5;1498.3
370-10494 Skelby;370;10494;Skelby;278.0;0.2;1144.0
370-10653 Tappernøje;370;10653;Tappernøje;1647.0;1.7;966.0
370-10948 Herlufmagle;370;10948;Herlufmagle;1419.0;1.1;1248.0
370-10949 Tybjerglille Bakker;370;10949;Tybjerglille Bakker;339.0;0.2;1412.5
370-16822 Gangesbro;370;16822;Gangesbro;0.0;0.0;0.0
370-16913 Vallensved;370;16913;Vallensved;217.0;0.2;1014.0
370-70112 Enø By;370;70112;Enø By;333.0;1.4;232.9
370-99997 Uden fast bopæl;370;99997;Uden fast bopæl;261.0;0.0;0.0
370-99999 Landdistrikter;370;99999;Landdistrikter;15280.0;636.0;24.0
376-00376 Guldborgsund Kommune;376;00376;Guldborgsund Kommune;0.0;0.0;0.0
376-10016 Grænge;376;10016;Grænge;383.0;0.5;843.6
376-10021 Toreby;376;10021;Toreby;614.0;0.8;785.2
376-10022 Hasselø Plantage;376;10022;Hasselø Plantage;216.0;0.1;1687.5
376-10023 Nagelsti;376;10023;Nagelsti;516.0;0.3;1582.8
376-10024 Nykøbing F;376;10024;Nykøbing F;16904.0;8.0;2110.6
376-10025 Sundby;376;10025;Sundby;2843.0;2.3;1218.1
376-10026 Systofte Skovby;376;10026;Systofte Skovby;340.0;0.2;1743.6
376-10027 Frejlev;376;10027;Frejlev;0.0;0.0;0.0
376-10028 Kettinge;376;10028;Kettinge;541.0;0.6;920.1
376-10116 Møllehave;376;10116;Møllehave;0.0;0.0;0.0
376-10122 Bangsebro;376;10122;Bangsebro;0.0;0.0;0.0
376-10123 Eskilstrup;376;10123;Eskilstrup;1094.0;0.9;1246.0
376-10124 Stubberup;376;10124;Stubberup;0.0;0.0;0.0
376-10125 Tingsted;376;10125;Tingsted;226.0;0.2;1061.0
376-10126 Ønslev;376;10126;Ønslev;392.0;0.3;1187.9
376-10127 Vålse;376;10127;Vålse;215.0;0.3;853.2
376-10128 Orehoved;376;10128;Orehoved;463.0;0.5;964.6
376-10129 Øster Kippinge;376;10129;Øster Kippinge;249.0;0.3;841.2
376-10332 Nørre Alslev;376;10332;Nørre Alslev;2393.0;2.3;1058.4
376-10383 Nysted;376;10383;Nysted;1359.0;1.3;1015.7
376-10387 Gedser;376;10387;Gedser;717.0;0.9;781.0
376-10406 Væggerløse;376;10406;Væggerløse;1332.0;1.1;1261.4
376-10407 Idestrup;376;10407;Idestrup;1174.0;0.9;1340.2
376-10408 Sønder Vedby Skovhuse;376;10408;Sønder Vedby Skovhuse;291.0;0.2;1774.4
376-10426 Øster Ulslev;376;10426;Øster Ulslev;266.0;0.3;933.3
376-10566 Sakskøbing;376;10566;Sakskøbing;4545.0;3.5;1294.1
376-10849 Horbelev;376;10849;Horbelev;583.0;0.6;1050.5
376-10850 Horreby;376;10850;Horreby;302.0;0.3;1052.3
376-10851 Guldborg;376;10851;Guldborg;555.0;0.5;1196.1
376-10886 Stubbekøbing;376;10886;Stubbekøbing;2304.0;1.8;1298.8
376-13628 Karleby;376;13628;Karleby;0.0;0.0;0.0
376-16177 Radsted;376;16177;Radsted;0.0;0.0;0.0
376-17100 Nørre Vedby;376;17100;Nørre Vedby;0.0;0.0;0.0
376-18595 Nordbyen;376;18595;Nordbyen;1733.0;1.2;1395.3
376-70200 Nykøbing Strandhuse;376;70200;Nykøbing Strandhuse;305.0;3.0;100.7
376-70204 Marielyst;376;70204;Marielyst;725.0;3.9;186.7
376-99997 Uden fast bopæl;376;99997;Uden fast bopæl;136.0;0.0;0.0
376-99999 Landdistrikter;376;99999;Landdistrikter;17541.0;863.7;20.3
390-00390 Vordingborg Kommune;390;00390;Vordingborg Kommune;0.0;0.0;0.0
390-10050 Køng;390;10050;Køng;927.0;1.2;779.6
390-10051 Lundby;390;10051;Lundby;816.0;0.6;1342.1
390-10052 Bårse;390;10052;Bårse;529.0;0.5;1113.7
390-10150 Stensved;390;10150;Stensved;1620.0;1.0;1638.0
390-10151 Klarskov;390;10151;Klarskov;234.0;0.2;1529.4
390-10227 Neder Vindinge;390;10227;Neder Vindinge;0.0;0.0;0.0
390-10228 Vordingborg;390;10228;Vordingborg;12014.0;8.1;1490.0
390-10326 Borre;390;10326;Borre;267.0;0.5;571.7
390-10330 Kalvehave;390;10330;Kalvehave;628.0;0.6;1071.7
390-10331 Stege;390;10331;Stege;3813.0;2.7;1413.3
390-10388 Klintholm Havn;390;10388;Klintholm Havn;0.0;0.0;0.0
390-10397 Bogø By;390;10397;Bogø By;916.0;1.6;560.2
390-10428 Store Damme;390;10428;Store Damme;605.0;0.7;829.9
390-10612 Præstø;390;10612;Præstø;3864.0;2.5;1560.6
390-10751 Skibinge;390;10751;Skibinge;361.0;0.3;1215.5
390-10762 Gammel Kalvehave;390;10762;Gammel Kalvehave;788.0;0.9;874.6
390-10881 Allerslev;390;10881;Allerslev;249.0;0.3;844.1
390-10882 Nyråd;390;10882;Nyråd;2514.0;1.6;1590.1
390-10883 Ørslev;390;10883;Ørslev;1902.0;1.6;1159.0
390-10884 Langebæk;390;10884;Langebæk;241.0;0.2;1057.0
390-10885 Mern;390;10885;Mern;1036.0;0.7;1392.5
390-17173 Udby;390;17173;Udby;0.0;0.0;0.0
390-99997 Uden fast bopæl;390;99997;Uden fast bopæl;133.0;0.0;0.0
390-99999 Landdistrikter;390;99999;Landdistrikter;12580.0;593.8;21.2
400-00400 Bornholm Kommune;400;00400;Bornholm Kommune;0.0;0.0;0.0
400-10065 Allinge-Sandvig;400;10065;Allinge-Sandvig;1517.0;1.8;849.4
400-10066 Hasle;400;10066;Hasle;1665.0;1.2;1446.6
400-10281 Svaneke;400;10281;Svaneke;1044.0;0.7;1489.3
400-10282 Årsdale;400;10282;Årsdale;389.0;0.4;1089.6
400-10283 Aakirkeby;400;10283;Aakirkeby;2112.0;1.7;1235.1
400-10284 Pedersker;400;10284;Pedersker;245.0;0.2;1093.8
400-10285 Snogebæk;400;10285;Snogebæk;701.0;1.3;522.0
400-10586 Nexø;400;10586;Nexø;3654.0;2.2;1648.9
400-10605 Tejn;400;10605;Tejn;899.0;1.5;607.4
400-10647 Østerlars;400;10647;Østerlars;243.0;0.3;883.6
400-10648 Listed;400;10648;Listed;210.0;0.3;606.9
400-10649 Østermarie;400;10649;Østermarie;480.0;0.5;939.3
400-10810 Lobbæk;400;10810;Lobbæk;356.0;0.3;1062.7
400-10857 Nyker;400;10857;Nyker;707.0;0.5;1383.6
400-10872 Vestermarie;400;10872;Vestermarie;253.0;0.2;1160.6
400-10880 Klemensker;400;10880;Klemensker;629.0;0.6;1046.6
400-11152 Rønne;400;11152;Rønne;13723.0;8.1;1686.7
400-11444 Balka;400;11444;Balka;216.0;0.6;373.1
400-18347 Muleby;400;18347;Muleby;533.0;0.5;1117.4
400-18348 Nylars;400;18348;Nylars;225.0;0.3;868.7
400-18349 Gudhjem;400;18349;Gudhjem;701.0;0.8;844.6
400-99997 Uden fast bopæl;400;99997;Uden fast bopæl;65.0;0.0;0.0
400-99999 Landdistrikter;400;99999;Landdistrikter;9128.0;564.3;16.2
410-00410 Middelfart Kommune;410;00410;Middelfart Kommune;0.0;0.0;0.0
410-10106 Middelfart;410;10106;Middelfart;15202.0;10.6;1440.5
410-10107 Vejlby;410;10107;Vejlby;234.0;0.3;924.9
410-10386 Brenderup;410;10386;Brenderup;1403.0;1.5;917.6
410-10412 Fjelsted;410;10412;Fjelsted;294.0;0.5;628.2
410-10414 Harndrup;410;10414;Harndrup;637.0;0.8;751.2
410-10519 Gelsted (del af flere kommuner);410;10519;Gelsted (del af flere kommuner);1708.0;1.4;1186.1
410-10670 Båring;410;10670;Båring;940.0;0.9;1021.7
410-10671 Nørre Aaby;410;10671;Nørre Aaby;2954.0;2.3;1291.1
410-10701 Strib;410;10701;Strib;4526.0;3.1;1482.5
410-11078 Ejby;410;11078;Ejby;2020.0;1.9;1039.1
410-11272 Kauslunde;410;11272;Kauslunde;550.0;0.6;906.1
410-12737 Røjle;410;12737;Røjle;246.0;0.2;1098.2
410-13391 Føns;410;13391;Føns;0.0;0.0;0.0
410-99997 Uden fast bopæl;410;99997;Uden fast bopæl;34.0;0.0;0.0
410-99999 Landdistrikter;410;99999;Landdistrikter;7345.0;274.7;26.7
411-00411 Christiansø;411;00411;Christiansø;0.0;0.0;0.0
411-99999 Landdistrikter;411;99999;Landdistrikter;78.0;0.4;195.0
420-00420 Assens Kommune;420;00420;Assens Kommune;0.0;0.0;0.0
420-10369 Verninge;420;10369;Verninge;781.0;0.7;1197.9
420-10413 Grønnemose;420;10413;Grønnemose;392.0;0.6;638.4
420-10432 Turup;420;10432;Turup;328.0;0.3;1233.1
420-10433 Glamsbjerg;420;10433;Glamsbjerg;3239.0;3.1;1051.3
420-10473 Assens;420;10473;Assens;6231.0;4.7;1325.5
420-10511 Skallebølle (del af flere kommuner);420;10511;Skallebølle (del af flere kommuner);710.0;0.5;1312.4
420-10519 Gelsted (del af flere kommuner);420;10519;Gelsted (del af flere kommuner);10.0;0.0;833.3
420-10520 Tommerup Stationsby;420;10520;Tommerup Stationsby;2460.0;1.5;1628.1
420-10538 Tommerup;420;10538;Tommerup;1588.0;1.4;1146.6
420-10540 Jordløse;420;10540;Jordløse;350.0;0.4;790.1
420-10543 Brylle;420;10543;Brylle;1220.0;1.0;1165.2
420-10551 Ebberup;420;10551;Ebberup;1263.0;1.2;1046.4
420-10552 Flemløse;420;10552;Flemløse;631.0;0.8;780.0
420-10553 Snave;420;10553;Snave;220.0;0.3;709.7
420-10554 Haarby;420;10554;Haarby;2462.0;2.4;1037.9
420-10570 Aarup;420;10570;Aarup;3157.0;2.3;1378.0
420-10689 Skalbjerg;420;10689;Skalbjerg;627.0;0.5;1194.3
420-10690 Vissenbjerg;420;10690;Vissenbjerg;3193.0;2.7;1201.7
420-10707 Ørsted;420;10707;Ørsted;238.0;0.2;1112.2
420-11092 Sandager;420;11092;Sandager;0.0;0.0;0.0
420-11710 Torø Huse;420;11710;Torø Huse;0.0;0.0;0.0
420-11961 Nårup;420;11961;Nårup;214.0;0.2;888.0
420-99997 Uden fast bopæl;420;99997;Uden fast bopæl;56.0;0.0;0.0
420-99999 Landdistrikter;420;99999;Landdistrikter;12020.0;486.6;24.7
430-00430 Faaborg-Midtfyn Kommune;430;00430;Faaborg-Midtfyn Kommune;0.0;0.0;0.0
430-10327 Espe;430;10327;Espe;518.0;0.4;1266.5
430-10351 Gislev;430;10351;Gislev;1284.0;1.0;1233.4
430-10358 Millinge;430;10358;Millinge;530.0;0.5;985.1
430-10359 Diernæs;430;10359;Diernæs;304.0;0.2;1363.2
430-10360 Svanninge;430;10360;Svanninge;235.0;0.2;1224.0
430-10363 Faaborg;430;10363;Faaborg;7097.0;4.6;1559.4
430-10364 Bøjden;430;10364;Bøjden;291.0;0.3;895.4
430-10365 Faldsled;430;10365;Faldsled;526.0;0.7;778.1
430-10366 Horne;430;10366;Horne;875.0;0.8;1085.6
430-10367 Håstrup;430;10367;Håstrup;342.0;0.4;763.4
430-10370 Vejle;430;10370;Vejle;1068.0;0.9;1201.4
430-10395 Vester Hæsinge;430;10395;Vester Hæsinge;419.0;0.4;1019.5
430-10396 Korinth;430;10396;Korinth;1039.0;0.9;1106.5
430-10451 Ringe;430;10451;Ringe;5851.0;4.7;1242.3
430-10452 Vantinge;430;10452;Vantinge;208.0;0.2;859.5
430-10476 Ryslinge;430;10476;Ryslinge;1782.0;1.4;1281.1
430-10478 Nørre Broby;430;10478;Nørre Broby;1471.0;1.4;1051.5
430-10479 Brobyværk;430;10479;Brobyværk;1064.0;1.0;1071.5
430-10480 Heden;430;10480;Heden;215.0;0.3;770.6
430-10490 Søllinge;430;10490;Søllinge;228.0;0.3;817.2
430-10507 Dyreborg;430;10507;Dyreborg;0.0;0.0;0.0
430-10535 Nørre Lyndelse;430;10535;Nørre Lyndelse;1964.0;1.4;1405.9
430-10536 Årslev;430;10536;Årslev;3823.0;2.8;1390.2
430-10537 Nørre Søby;430;10537;Nørre Søby;843.0;0.6;1421.6
430-10541 Vester Åby;430;10541;Vester Åby;839.0;0.8;1091.0
430-10558 Kværndrup;430;10558;Kværndrup;1735.0;1.3;1361.9
430-10562 Ferritslev;430;10562;Ferritslev;974.0;1.0;1000.0
430-10563 Rolsted;430;10563;Rolsted;465.0;0.4;1226.9
430-10564 Tarup;430;10564;Tarup;301.0;0.3;1171.2
430-11656 Fjellerup;430;11656;Fjellerup;210.0;0.2;1105.3
430-12121 Pederstrup;430;12121;Pederstrup;0.0;0.0;0.0
430-14974 Herringe;430;14974;Herringe;211.0;0.3;817.8
430-14977 Krarup;430;14977;Krarup;202.0;0.3;711.3
430-17176 Åstrup;430;17176;Åstrup;215.0;0.3;793.4
430-99997 Uden fast bopæl;430;99997;Uden fast bopæl;52.0;0.0;0.0
430-99999 Landdistrikter;430;99999;Landdistrikter;14195.0;603.5;23.5
440-00440 Kerteminde Kommune;440;00440;Kerteminde Kommune;0.0;0.0;0.0
440-10495 Munkebo;440;10495;Munkebo;5599.0;3.8;1460.4
440-10572 Rynkeby;440;10572;Rynkeby;620.0;0.4;1458.8
440-10573 Rønninge;440;10573;Rønninge;264.0;0.3;953.1
440-10672 Dalby;440;10672;Dalby;326.0;0.3;1031.6
440-10673 Mesinge;440;10673;Mesinge;320.0;0.3;1103.4
440-10674 Kerteminde;440;10674;Kerteminde;5903.0;3.4;1727.5
440-10675 Revninge;440;10675;Revninge;238.0;0.3;826.4
440-10676 Vejruplund;440;10676;Vejruplund;0.0;0.0;0.0
440-10709 Birkende;440;10709;Birkende;567.0;0.6;965.9
440-10711 Langeskov;440;10711;Langeskov;4057.0;3.0;1342.5
